Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
afectar,,,l' evolució de la querella per assetjament sexual d' Olga Ros contra Hortalà i la que va interposar l' economista contra la dona per coaccions,de forma definitiva,25,3,22,5,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
arribar,,,a un acord,amb la seva exsecretària,3,4,-1,3,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
interposar,,,una querella,contra Hortalà,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
abocar,,,la dona,a un estat depressiu,2,4,-2,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
potenciar,,,les línies aèries de les comarques de Lleida entre les quals hi ha l' aeroport de La Seu d' Urgell i l' aeròdrom d' Alfés al Segrià,al màxim,27,2,25,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
reiterar,,,la voluntat política de la Generalitat manifestada recentment pel conseller de Política Territorial i Obres Públiques Pere Macias,en el sentit que el Govern català potenciarà un consorci per tal de tirar endavant l' aeroport de La Seu d' Urgell,18,22,-4,2,23,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
incrementar,,,la quota de poder d' Unió,en el Govern de la Generalitat,6,6,0,2,9,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
nomenar,,,coordinador dels Serveis Veterinaris del DARP,al Baix Penedès,6,3,3,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
impulsar,,,el desplegament de les actuacions del DARP,en aquestes comarques,7,3,4,2,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
presentar,,,una proposició no de llei,al Parlament de Catalunya,5,4,1,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
generar,,,problemes greus,pel que fa a la qualitat i la quantitat de les prestacions,2,12,-10,1,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
donar,,,un mínim de 23.460 habitants,per aquest període,5,3,2,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
presentar,,,un esborrany d' un programa marc que pretén dibuixar les línies d' actuació per recuperar la zona cremada en l' incendi de dimarts passat dia 29 de maig,amb caràcter d' urgència,28,4,24,17,12,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
recuperar,,Acc,la,de manera òptima,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
iniciar,,,les tasques de neteja,a finals del mes de setembre,4,6,-2,2,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
eliminar,,,situacions d' extrema pobresa,a nivell europeu,4,3,1,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
buscar,,,una dona de 43 anys veïna de Sant Fruitós de Bages desapareguda des del 27 de maig passat quan va marxar amb el cotxe,per la comarca de La Segarra,24,6,18,8,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
violar,,,una noia brasilera,als túnels de Vallvidrera,3,4,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
valorar,,,un atenuant de la seva conducta,en el fet que havia consumit begudes alcohòliques que li afectaven les capacitats,6,13,-7,2,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
escoltar,,,la versió de la noia,en el plenari,5,3,2,2,8,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
formular,,,una querella,contra el processat,2,3,-1,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
apartar,,,se,del procediment,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
provar,,,la realitat dels fets les imatges filmades des d' una càmera instal·lada als túnels de Vallvidrera mostren com la jove està al costat de la furgoneta després de l' atac sexual i com ' inicia una trajectòria lenta confusa i ineficaç a la recerca d' un ajut que cap cotxe va decidir se a donar li ',amb més contundència,57,3,54,6,4,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
iniciar,,,una trajectòria lenta confusa i ineficaç,a la recerca d' un ajut que cap cotxe va decidir se a donar li,6,15,-9,2,10,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
efectuar,,,una petició d' ajut que va ser reiteradament desatesa tot i que estava sola i ferida i que estava plorant en un estat nerviós de total alteració,amb un caminar titubejant i cansat,27,6,21,8,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
continuar,,,la festa,a la discoteca Pasadizo situada a Sant Cugat del Vallès,2,10,-8,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
complir,,,una condemna de 12 anys,per violació,5,2,3,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
treure,,,la víctima,per la força,2,3,-1,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
introduir,,,l' agredida,al cotxe,2,2,0,4,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imposar,,,una condemna més elevada,en atenció al fet que el processat va utilitzar la foscor i soledat del paratge on la va violar per satisfer els seus objectius,4,24,-20,2,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
preveure,,,aquest agreujant,en la seva petició,2,4,-2,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
rebre,,,un ajut,a través del Pla Únic d' Obres i Serveis,2,9,-7,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
proposar,,,la redacció i execució d' un pla d' informació i educació vial a la ciutat,amb la col·laboració de les diferents entitats i professionals de l' ensenyament,15,12,3,2,18,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
responsabilitzar,,,els vianants i els vehicles,en excés,5,2,3,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
conèixer,,,la seva víctima,a les festes majors de Vilanova del Camí,3,8,-5,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
endur-se,,Acc,la,fins un camí proper on aprofitant la foscor va llençar la a terra i va subjectar la del coll,1,19,-18,2,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
llençar,,Acc,la,a terra,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
subjectar,,Acc,la,del coll,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
esperar,,,el tren,a l' estació de Martorell,2,5,-3,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
assecar,,,se,amb la seva samarreta,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
patir,,,un trastorn emocional amb tendència a l' aïllament,en l' actualitat,8,3,5,5,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
posar,,Dat,li,al coll,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
lligar,,Acc,la,de mans i peus,1,4,-3,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
invertir,,,1.565 milions de pessetes,en la construcció d' una nova planta de producció de pa precuinat congelat,4,13,-9,2,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
fer,,,5.300 tones de pa,a l' any,4,3,1,2,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
invertir,,,2.900 milions de pessetes,en la instal·lació de dues línies més,4,7,-3,2,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
multiplicar,,,les vendes,per deu,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
reforçar,,,la seva posició de lideratge en masses congelades,a l' Estat espanyol i a Portugal,8,7,1,3,11,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
superar,,,la marca anterior,durant 500 metres,3,3,0,2,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
recórrer,,,aquests 500 metres,en uns 19 segons,3,4,-1,3,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
realitzar,,,l' intent definitiu,a Fuerteventura,3,2,1,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
plantejar,,,l' adhesió d' aquesta organització a la declaració i celebració de l' any 2004 com a Any Dalí,en el marc de la Conferència General de la Unesco,18,10,8,12,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
plantejar,,,l' adhesió d' aquesta organització de Nacions Unides per l' Educació la Ciència i la Cultura a la declaració i celebració de l' any 2004 com a Any Dalí,en el marc de la Conferència General de la UNESCO,29,10,19,12,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
secundar,,,aquesta iniciativa,en els seus respectius àmbits de govern,2,7,-5,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
rebre,,,la medalla de la Orden Bernardo O'Higgins en el grau de Gran Oficial,de mans de l' aleshores president de la República xilena Eduardo Frei,13,12,1,8,21,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
comptar,,,amb empreses tan importants com Aguas de Barcelona Antonio Puig S.A. Banco Popular Español Banco Santander Central Hispano Comsa Endesa Fábrica Nacional de Moneda y Timbre Grupo Zeta Iberdrola Iberia IZAR Construcciones Navales S.A. LanChile Miguel Torres S.A. Obraseon Huarte S.A. Puerto de Barcelona Puerto de Tarragona Price Waterhouse Coopers Renfe Sacir o Telefónica,entre els socis,54,3,51,6,4,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
fer,,,contactes,entre professionals,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
potenciar,,,les promocions,al mercat europeu,2,3,-1,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
repetir,,,estada,a la zona,1,3,-2,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
estendre,,,se,a tota la província de Barcelona,1,6,-5,1,5,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
equipar,,,totes les poblacions,amb espais específics pels joves,3,5,-2,8,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
tenir,,,risc alt d' incendi,segons la direcció general d' emergències i seguretat civil,4,9,-5,4,11,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mostrar,,,el rebuig,contra l' atemptat que va perpetrar ETA divendres a la població navarresa de Sangüesa i que va provocar la mort de dos policies nacionals Bonifacio Martín i Julián Envit,2,29,-27,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
acollir,,,l' exposició ' Sitges Reus Terrassa Viatge al modernisme ',a partir de dimarts vinent 3 de juny,10,8,2,12,4,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
quedar,,,tallada,durant una hora,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
impartir,,,el curs ' Els mites de la globalització neoliberal ',a la Casa de Cultura de Girona,10,7,3,9,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
suposar,,,"un cost de 0,3 euros",per les conques receptores,5,4,1,2,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
portar,,,el recital de poesia ' Contra el olvido ' de Rafael Alberti,a Tremp,12,2,10,5,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
produir,,,un desviament de gasos,a les deu de la nit,4,6,-2,9,4,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
dirigir,,,l' Institut de Recerca per l' Ensenyament de la Filosofia,entre els anys 1984 i 1994,10,6,4,2,13,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
fer,,,inscripció prèvia,al telèfon 972.20.98.36,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
saltar,,,al continent asiàtic,per primera vegada,3,3,0,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
anar,,,al sud-est d' Àsia,per primera vegada,4,3,1,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
publicar,,,' Cròniques de l' Anaconda Índia Pakistan Indonèsia Filipines Cambodja Tailàndia Laos ',a Columna Edicions,13,3,10,2,23,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
representar,,,un aval,per una entitat que va ser creada ara fa tan sols un any per l' Ajuntament de La Seu d' Urgell el Consell Comarcal de l' Alt Urgell i el Parc Olímpic del Segre,2,34,-32,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
fer,,,una volta,al recorregut,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
presentar,,,seixanta denúncies individuals,a la caserna de la Guàrdia Civil,3,7,-4,3,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mantenir,,,una reunió,amb el tinent coronel cap de la Comandància de la Guàrdia Civil de Tarragona Laurentino Ceña,2,16,-14,4,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mantenir,,,entrevistes,amb l' Ajuntament de Roquetes els portaveus dels grups polítics de Roquetes el Delegat del DARP a Les Terres de l' Ebre a més d' amb el tinent coronel cap de la Guàrdia Civil de Tarragona,1,36,-35,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
rebre,,,aquest segell,a la resta de Catalunya,2,5,-3,4,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
il·luminar,,,el puig de Sant Martirià,amb els raigs de sol enviats amb miralls des d' una cinquantena de cims del voltant,5,16,-11,4,10,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
escollir,,,el cim que volen pujar,d' una llista que l' entitat ha elaborat en els últims mesos,5,12,-7,2,8,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
projectar,,,els raigs del sol,amb un mirall,4,3,1,5,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
superar,,,els 5.000 participants,durant aquest matí,3,3,0,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
incrementar,,,la participació,als diversos tallers que es faran durant tot el matí,2,10,-8,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
mantenir,,,activat,entre les tres i tres quarts de sis de la tarda d' avui,1,13,-12,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
retirar,,,el bidó que perdia,del remolc,4,2,2,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
anar,,,cobert per una lona,amb un remolc,4,3,1,4,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
alertar,,,d' aquest incident,a les 14'10,3,3,0,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
iniciar,,,el seu recorregut,a les instal·lacions de l' empresa Veprovesa Wildfy de Carcaixent País Valencià,3,12,-9,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
celebrar,,,el tradicional dinar popular de Sant Isidre que ha reunit uns 600 comensals al poliesportiu municipal,al migdia,16,2,14,6,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
reunir,,,uns 600 comensals,al poliesportiu municipal,3,3,0,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
acollir,,,el lliurament dels premis de la primera convocatòria dels premis de Recerca que convoca la institució osonenca i que s' adrecen a estudiants de Batxillerat,a dos quarts de set del vespre,25,7,18,12,4,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
constituir,,,un autèntic esforç de recerca dels estudiants,amb consultes a les biblioteques arxius i treball de camp,7,10,-3,4,11,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
tenir,,,la convocatòria,en vigor,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
fer,,,de mestres,de forma voluntària i desinteressada,2,5,-3,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
donar,,,resposta,tant a les necessitats de desenvolupament portuari,1,7,-6,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
anar,,,a la carretera de La Fosca,des del carrer Angel Guimerà,6,5,1,8,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
estar,,,enllestides,a principis de l' any vinent,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
invertir,,,400 milions,en la compra i remodelació del Berenguer IV,2,8,-6,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
crear,,,uns 25 llocs de treball,a la ciutat,5,3,2,3,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
inaugurar,,,l' exposició Rius per viure,a Torelló,5,2,3,5,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
fer,,,una parada de reflexió,en el marc del seu desè aniversari,4,7,-3,2,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
abordar,,,la situació del bosc de ribera,a partir de temes com l' estalvi d' aigua la qualitat de l' aigua les fonts els transvasaments i el litoral,6,21,-15,2,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
atracar,,,un home que treia diners d' un caixer automàtic,amb una navalla,9,3,6,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
treure,,,diners,d' un caixer automàtic,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
retirar,,,40.000 pessetes,del caixer,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
localitzar,,,una persona que coincidia amb una de les descripcions facilitades,al cap de poca estona,10,5,5,7,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
posar,,,un alt percentatge de mortalitat en la franja de persones joves de la demarcació gironina,en relació amb el conjunt de Catalunya,15,7,8,5,22,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
representar,,,"una taxa de mortalitat del 26,5/100.000 habitants",en aquesta franja d' edat,7,5,2,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
liderar,,,"els viatges i amb un 17,5 % les pernoctacions","amb un 19,9 %",9,4,5,6,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
prendre,,,protagonisme,davant els accidents ocorreguts a diferents indrets d' Europa en l' interior precisament d' aquestes construccions,1,16,-15,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
invertir,,,més de deu milions de pessetes,en el projecte de revestiment dels túnels existents a la carretera LV-4001 de la C-1313 al seu pas per la comarca de L' Alt Urgell,6,25,-19,4,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
esdevenir,,,els prioritaris,entre els 55 i els 64 anys,2,7,-5,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
omplir,,,mil metres lineals dels carrers,en la tradicional Festa del Corpus d' aquest municipi,5,9,-4,2,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
recollir,,,les flors,a diverses poblacions del Maresme,2,5,-3,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
concórrer,,,als comicis,a Manresa,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
convocar,,,els caps de llista i quatre persones més de cadascuna de les candidatures,al concurs Vuit al ple,13,5,8,2,15,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
distendre,,,la campanya electoral,a la capital del Bages,3,5,-2,2,6,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
concórrer,,,a les eleccions,a Manresa,3,2,1,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
millorar,,,les instal·lacions de les seves places hoteleres,amb obres a l' Hotel Abat Cisneros i a les Cel·les Abat Marcet,7,13,-6,2,9,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
visitar,,,Montserrat,ja sigui per motius religiosos culturals o de contacte amb la natura,1,12,-11,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
